"","building_eval_score","year_built","year_evaluated","wardname","reactive_score"
"1",72,1973,2024,"Toronto Centre",-1
"2",90,1980,2023,"Toronto Centre",0
"3",87,1991,2023,"Toronto Centre",0
"4",85,2012,2023,"Toronto Centre",0
"5",97,1991,2023,"Toronto Centre",0
"6",97,1973,2023,"Toronto-Danforth",0
"7",89,1960,2024,"Toronto-Danforth",0
"8",65,1958,2023,"Beaches-East York",0
"9",89,1986,2024,"Davenport",0
"10",76,1911,2023,"Davenport",0
"11",82,1959,2023,"Davenport",0
"12",96,2016,2023,"Davenport",0
"13",93,1976,2024,"Parkdale-High Park",-1
"14",94,1976,2023,"Parkdale-High Park",0
"15",92,1997,2024,"Parkdale-High Park",0
"16",86,1992,2023,"Parkdale-High Park",0
"17",80,1960,2023,"Parkdale-High Park",0
"18",97,2021,2024,"Parkdale-High Park",0
"19",92,1972,2024,"Parkdale-High Park",0
"20",91,1972,2024,"Parkdale-High Park",0
"21",91,1990,2023,"Parkdale-High Park",0
"22",97,1950,2023,"Etobicoke Centre",0
"23",96,1950,2023,"Etobicoke Centre",0
"24",96,1950,2023,"Etobicoke Centre",0
"25",94,1968,2023,"Etobicoke-Lakeshore",-4
"26",82,1962,2023,"Etobicoke-Lakeshore",0
"27",100,2021,2024,"Etobicoke-Lakeshore",0
"28",81,1950,2024,"Toronto-Danforth",-2
"29",95,1950,2024,"Toronto-Danforth",0
"30",93,1940,2024,"Toronto-Danforth",0
"31",89,1940,2024,"Toronto-Danforth",0
"32",99,1955,2024,"Toronto-Danforth",0
"33",99,1969,2023,"Toronto-Danforth",0
"34",94,1971,2024,"Toronto-Danforth",0
"35",95,1973,2024,"Toronto-Danforth",0
"36",99,1970,2023,"Toronto-Danforth",0
"37",98,1955,2023,"Toronto-Danforth",0
"38",84,1930,2024,"Toronto-St. Paul's",-1
"39",98,1993,2024,"Don Valley West",0
"40",96,1993,2024,"Don Valley West",0
"41",86,1956,2023,"Don Valley West",0
"42",92,1965,2023,"Don Valley West",0
"43",89,1963,2023,"Toronto-St. Paul's",0
"44",88,1956,2024,"Don Valley West",0
"45",87,1954,2023,"Toronto-St. Paul's",0
"46",81,1970,2023,"Don Valley West",0
"47",93,1885,2023,"Davenport",0
"48",94,1969,2023,"Scarborough Centre",0
"49",93,1968,2023,"Don Valley East",0
"50",93,1967,2023,"Don Valley East",0
"51",99,2001,2024,"Don Valley East",0
"52",93,1967,2024,"Don Valley East",0
"53",78,1970,2024,"Eglinton-Lawrence",0
"54",84,1965,2023,"York South-Weston",0
"55",78,1964,2023,"York Centre",0
"56",83,1964,2023,"York Centre",0
"57",82,1965,2023,"York Centre",0
"58",91,1965,2024,"York Centre",0
"59",84,1966,2023,"York Centre",0
"60",87,1966,2023,"York Centre",0
"61",93,1964,2024,"Toronto-St. Paul's",-1
"62",85,1964,2023,"Toronto-St. Paul's",0
"63",92,1954,2024,"Etobicoke-Lakeshore",0
"64",97,1962,2024,"Etobicoke-Lakeshore",0
"65",84,1935,2023,"Parkdale-High Park",0
"66",81,1960,2023,"University-Rosedale",0
"67",64,1888,2024,"University-Rosedale",0
"68",88,1982,2023,"Scarborough Southwest",0
"69",95,1974,2023,"Scarborough Southwest",0
"70",85,1959,2024,"Etobicoke-Lakeshore",0
"71",94,1959,2023,"Etobicoke-Lakeshore",0
"72",85,1977,2023,"York South-Weston",0
"73",80,1970,2023,"Davenport",-2
"74",85,1960,2023,"Davenport",0
"75",60,1968,2024,"Davenport",0
"76",87,1968,2024,"Etobicoke Centre",0
"77",73,1968,2024,"Etobicoke Centre",-1
"78",73,1945,2024,"York Centre",0
"79",96,1967,2023,"Toronto-Danforth",0
"80",90,1960,2023,"York Centre",0
"81",94,1962,2024,"York Centre",0
"82",96,1962,2024,"York Centre",0
"83",95,1959,2023,"York Centre",0
"84",91,1967,2024,"Etobicoke Centre",-1
"85",84,1973,2024,"Etobicoke Centre",0
"86",88,1970,2024,"Scarborough-Agincourt",-2
"87",92,1971,2024,"Scarborough-Agincourt",0
"88",95,1974,2023,"Scarborough-Agincourt",0
"89",87,1974,2023,"Scarborough-Agincourt",0
"90",90,1922,2024,"Toronto-Danforth",0
"91",85,1979,2024,"Toronto Centre",0
"92",91,1994,2024,"Toronto Centre",0
"93",94,2010,2023,"Toronto Centre",0
"94",83,1927,2023,"Toronto Centre",0
"95",82,1973,2024,"Toronto Centre",0
"96",92,1960,2023,"Toronto Centre",0
"97",90,1988,2023,"Toronto Centre",0
"98",92,1962,2023,"Don Valley West",0
"99",83,1962,2023,"Don Valley West",0
"100",99,1962,2023,"Don Valley West",0
"101",91,1964,2024,"Don Valley West",0
"102",95,1964,2024,"Don Valley West",0
"103",92,1964,2024,"Don Valley West",0
"104",92,1965,2023,"York Centre",0
"105",87,1966,2023,"Don Valley East",-1
"106",87,1965,2024,"Don Valley East",0
"107",85,1969,2023,"Don Valley East",0
"108",94,1965,2024,"Don Valley East",0
"109",99,1950,2023,"University-Rosedale",0
"110",80,1955,2024,"Eglinton-Lawrence",-1
"111",98,1955,2024,"Eglinton-Lawrence",0
"112",94,1956,2023,"Eglinton-Lawrence",0
"113",75,1959,2023,"Eglinton-Lawrence",0
"114",83,1959,2023,"Eglinton-Lawrence",0
"115",98,1965,2024,"York South-Weston",0
"116",82,1968,2023,"Humber River-Black Creek",0
"117",94,1992,2023,"Etobicoke-Lakeshore",0
"118",93,1977,2024,"Etobicoke-Lakeshore",0
"119",79,1961,2023,"Scarborough-Guildwood",0
"120",92,1965,2024,"York Centre",0
"121",84,1965,2024,"York Centre",0
"122",83,1967,2024,"York Centre",0
"123",91,1950,2024,"Beaches-East York",0
"124",81,1972,2023,"Humber River-Black Creek",0
"125",77,1972,2024,"Humber River-Black Creek",0
"126",79,1972,2023,"Humber River-Black Creek",0
"127",84,1974,2024,"Humber River-Black Creek",0
"128",95,1967,2024,"Toronto-St. Paul's",0
"129",78,1961,2024,"Eglinton-Lawrence",0
